Drug,Public/Private,Unit/MPR,Country,Year,Month,Price,P25,P75
Ciprofloxacin 500 mg cap/tab,Public,Unit,Iran,2007,December,0.07,0.07,0.07
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Iran,2007,December,0.01,0.01,<0.01
Co-trimoxazole 40+200 mg/5ml suspension,Public,Unit,Iran,2007,December,0.01,0.01,<0.01
Diazepam 5 mg cap/tab,Private,Unit,Iran,2007,December,0.01,0.01,<0.01
Diazepam 5 mg cap/tab,Public,Unit,Iran,2007,December,0.01,0.01,<0.01
Diclofenac 50 mg cap/tab,Private,Unit,Iran,2007,December,0.01,0.01,<0.01
Diclofenac 50 mg cap/tab,Public,Unit,Iran,2007,December,0.01,0.01,<0.01
Glibenclamide 5 mg cap/tab,Private,Unit,Iran,2007,December,0.01,0.01,<0.01
Glibenclamide 5 mg cap/tab,Public,Unit,Iran,2007,December,0.01,0.01,<0.01
Omeprazole 20 mg cap/tab,Private,Unit,Iran,2007,December,0.10,0.09,0.09
Omeprazole 20 mg cap/tab,Public,Unit,Iran,2007,December,0.10,0.09,0.09
Paracetamol 120 mg/5ml suspension,Private,Unit,Iran,2007,December,0.01,0.01,<0.01
Paracetamol 120 mg/5ml suspension,Public,Unit,Iran,2007,December,0.01,0.01,<0.01
Salbutamol 100 mcg/dose inhaler,Private,Unit,Iran,2007,December,0.01,0.01,<0.01
Salbutamol 100 mcg/dose inhaler,Public,Unit,Iran,2007,December,0.01,0.01,<0.01
Simvastatin 20 mg cap/tab,Private,Unit,Iran,2007,December,0.11,0.11,0.11
Simvastatin 20 mg cap/tab,Public,Unit,Iran,2007,December,0.11,0.11,0.11
Amitriptyline 25 mg cap/tab,Private,MPR,Jordan,2004,May,8.65,8.65,8.65
Amitriptyline 25 mg cap/tab,Public,MPR,Jordan,2004,May,NO DATA,NO DATA,NO DATA
Atenolol 50 mg cap/tab,Private,MPR,Jordan,2004,May,18.39,18.11,18.39
Atenolol 50 mg cap/tab,Public,MPR,Jordan,2004,May,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Private,MPR,Jordan,2004,May,8.24,8.14,9.34
Captopril 25 mg cap/tab,Public,MPR,Jordan,2004,May,0.29,0.23,0.32
Ceftriaxone 1 g/vial injection,Private,MPR,Jordan,2004,May,6.81,6.23,6.93
Ceftriaxone 1 g/vial injection,Public,MPR,Jordan,2004,May,NO DATA,NO DATA,NO DATA
Ciprofloxacin 500 mg cap/tab,Private,MPR,Jordan,2004,May,22.06,22.06,25.11
Ciprofloxacin 500 mg cap/tab,Public,MPR,Jordan,2004,May,1.07,0.75,1.11
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,Jordan,2004,May,4.66,4.54,4.66
Co-trimoxazole 40+200 mg/5ml suspension,Public,MPR,Jordan,2004,May,1.33,1.19,1.37
Diazepam 5 mg cap/tab,Private,MPR,Jordan,2004,May,8.05,8.05,8.34
Diazepam 5 mg cap/tab,Public,MPR,Jordan,2004,May,2.41,2.21,2.41
Glibenclamide 5 mg cap/tab,Private,MPR,Jordan,2004,May,18.45,18.16,18.45
Glibenclamide 5 mg cap/tab,Public,MPR,Jordan,2004,May,0.84,0.70,1.03
Omeprazole 20 mg cap/tab,Private,MPR,Jordan,2004,May,5.56,5.51,5.80
Omeprazole 20 mg cap/tab,Public,MPR,Jordan,2004,May,0.24,0.23,0.51
Salbutamol 100 mcg/dose inhaler,Private,MPR,Jordan,2004,May,1.10,1.10,1.18
Salbutamol 100 mcg/dose inhaler,Public,MPR,Jordan,2004,May,NO DATA,NO DATA,NO DATA
Simvastatin 20 mg cap/tab,Private,MPR,Jordan,2004,May,10.50,10.50,11.67
Simvastatin 20 mg cap/tab,Public,MPR,Jordan,2004,May,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,Unit,Jordan,2004,May,0.07,0.07,0.07
Amitriptyline 25 mg cap/tab,Public,Unit,Jordan,2004,May,NO DATA,NO DATA,NO DATA
Atenolol 50 mg cap/tab,Private,Unit,Jordan,2004,May,0.17,0.17,0.17
Atenolol 50 mg cap/tab,Public,Unit,Jordan,2004,May,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Private,Unit,Jordan,2004,May,0.22,0.21,0.25
Captopril 25 mg cap/tab,Public,Unit,Jordan,2004,May,0.01,0.01,<0.01
Ceftriaxone 1 g/vial injection,Private,Unit,Jordan,2004,May,17.42,15.93,17.72
Ceftriaxone 1 g/vial injection,Public,Unit,Jordan,2004,May,NO DATA,NO DATA,NO DATA
Ciprofloxacin 500 mg cap/tab,Private,Unit,Jordan,2004,May,0.70,0.70,0.80
Ciprofloxacin 500 mg cap/tab,Public,Unit,Jordan,2004,May,0.03,0.02,0.04
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Jordan,2004,May,0.02,0.02,0.02
Co-trimoxazole 40+200 mg/5ml suspension,Public,Unit,Jordan,2004,May,0.01,0.01,<0.01
Diazepam 5 mg cap/tab,Private,Unit,Jordan,2004,May,0.03,0.03,0.03
Diazepam 5 mg cap/tab,Public,Unit,Jordan,2004,May,0.01,0.01,<0.01
Glibenclamide 5 mg cap/tab,Private,Unit,Jordan,2004,May,0.08,0.07,0.08
Glibenclamide 5 mg cap/tab,Public,Unit,Jordan,2004,May,0.00,0.01,<0.01
Omeprazole 20 mg cap/tab,Private,Unit,Jordan,2004,May,1.09,1.08,1.14
Omeprazole 20 mg cap/tab,Public,Unit,Jordan,2004,May,0.05,0.05,0.10
Salbutamol 100 mcg/dose inhaler,Private,Unit,Jordan,2004,May,0.01,0.01,0.01
Salbutamol 100 mcg/dose inhaler,Public,Unit,Jordan,2004,May,NO DATA,NO DATA,NO DATA
Simvastatin 20 mg cap/tab,Private,Unit,Jordan,2004,May,0.87,0.87,0.97
Simvastatin 20 mg cap/tab,Public,Unit,Jordan,2004,May,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,MPR,Kazakhstan,2004,November,4.42,3.45,4.95
Amitriptyline 25 mg cap/tab,Public,MPR,Kazakhstan,2004,November,NO DATA,NO DATA,NO DATA
Atenolol 50 mg cap/tab,Private,MPR,Kazakhstan,2004,November,3.78,3.28,4.72
Atenolol 50 mg cap/tab,Public,MPR,Kazakhstan,2004,November,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Private,MPR,Kazakhstan,2004,November,2.02,2.02,3.38
Captopril 25 mg cap/tab,Public,MPR,Kazakhstan,2004,November,NO DATA,NO DATA,NO DATA
Ceftriaxone 1 g/vial injection,Private,MPR,Kazakhstan,2004,November,1.30,0.87,1.49
Ceftriaxone 1 g/vial injection,Public,MPR,Kazakhstan,2004,November,NO DATA,NO DATA,NO DATA
Ciprofloxacin 500 mg cap/tab,Private,MPR,Kazakhstan,2004,November,10.80,6.36,11.52
Ciprofloxacin 500 mg cap/tab,Public,MPR,Kazakhstan,2004,November,NO DATA,NO DATA,NO DATA
Glibenclamide 5 mg cap/tab,Private,MPR,Kazakhstan,2004,November,3.72,3.72,4.10
Glibenclamide 5 mg cap/tab,Public,MPR,Kazakhstan,2004,November,4.84,4.84,4.84
Omeprazole 20 mg cap/tab,Private,MPR,Kazakhstan,2004,November,0.35,0.35,0.39
Omeprazole 20 mg cap/tab,Public,MPR,Kazakhstan,2004,November,1.19,1.19,1.19
Salbutamol 100 mcg/dose inhaler,Private,MPR,Kazakhstan,2004,November,1.34,1.32,1.36
Salbutamol 100 mcg/dose inhaler,Public,MPR,Kazakhstan,2004,November,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,Unit,Kazakhstan,2004,November,0.03,0.03,0.04
Amitriptyline 25 mg cap/tab,Public,Unit,Kazakhstan,2004,November,NO DATA,NO DATA,NO DATA
Atenolol 50 mg cap/tab,Private,Unit,Kazakhstan,2004,November,0.04,0.03,0.04
Atenolol 50 mg cap/tab,Public,Unit,Kazakhstan,2004,November,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Private,Unit,Kazakhstan,2004,November,0.05,0.05,0.09
Captopril 25 mg cap/tab,Public,Unit,Kazakhstan,2004,November,NO DATA,NO DATA,NO DATA
Ceftriaxone 1 g/vial injection,Private,Unit,Kazakhstan,2004,November,3.32,2.23,3.81
Ceftriaxone 1 g/vial injection,Public,Unit,Kazakhstan,2004,November,NO DATA,NO DATA,NO DATA
Ciprofloxacin 500 mg cap/tab,Private,Unit,Kazakhstan,2004,November,0.34,0.20,0.37
Ciprofloxacin 500 mg cap/tab,Public,Unit,Kazakhstan,2004,November,NO DATA,NO DATA,NO DATA
Glibenclamide 5 mg cap/tab,Private,Unit,Kazakhstan,2004,November,0.02,0.02,0.02
Glibenclamide 5 mg cap/tab,Public,Unit,Kazakhstan,2004,November,0.02,0.02,0.02
Omeprazole 20 mg cap/tab,Private,Unit,Kazakhstan,2004,November,0.07,0.07,0.08
Omeprazole 20 mg cap/tab,Public,Unit,Kazakhstan,2004,November,0.23,0.23,0.23
Salbutamol 100 mcg/dose inhaler,Private,Unit,Kazakhstan,2004,November,0.01,0.01,0.01
Salbutamol 100 mcg/dose inhaler,Public,Unit,Kazakhstan,2004,November,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,MPR,Kenya,2004,November,1.62,1.62,3.24
Amitriptyline 25 mg cap/tab,Public,MPR,Kenya,2004,November,1.62,1.01,1.89
Atenolol 50 mg cap/tab,Private,MPR,Kenya,2004,November,7.94,7.61,9.26
Atenolol 50 mg cap/tab,Public,MPR,Kenya,2004,November,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Private,MPR,Kenya,2004,November,5.59,4.19,6.19
Captopril 25 mg cap/tab,Public,MPR,Kenya,2004,November,NO DATA,NO DATA,NO DATA
Ceftriaxone 1 g/vial injection,Private,MPR,Kenya,2004,November,1.92,1.44,3.37
Ceftriaxone 1 g/vial injection,Public,MPR,Kenya,2004,November,2.24,1.28,3.06
Ciprofloxacin 500 mg cap/tab,Private,MPR,Kenya,2004,November,3.87,3.87,7.74
Ciprofloxacin 500 mg cap/tab,Public,MPR,Kenya,2004,November,2.90,1.79,4.84
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,Kenya,2004,November,1.71,1.71,2.05
Co-trimoxazole 40+200 mg/5ml suspension,Public,MPR,Kenya,2004,November,1.37,1.37,1.62
Diazepam 5 mg cap/tab,Private,MPR,Kenya,2004,November,3.52,3.08,3.52
Diazepam 5 mg cap/tab,Public,MPR,Kenya,2004,November,5.27,4.10,7.03
Glibenclamide 5 mg cap/tab,Private,MPR,Kenya,2004,November,12.00,9.00,15.01
Glibenclamide 5 mg cap/tab,Public,MPR,Kenya,2004,November,3.50,3.00,6.00
Omeprazole 20 mg cap/tab,Private,MPR,Kenya,2004,November,1.25,1.25,1.55
Omeprazole 20 mg cap/tab,Public,MPR,Kenya,2004,November,0.52,0.41,0.71
Salbutamol 100 mcg/dose inhaler,Private,MPR,Kenya,2004,November,1.78,1.59,1.87
Salbutamol 100 mcg/dose inhaler,Public,MPR,Kenya,2004,November,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,Unit,Kenya,2004,November,0.01,0.01,0.02
Amitriptyline 25 mg cap/tab,Public,Unit,Kenya,2004,November,0.01,0.01,0.01
Atenolol 50 mg cap/tab,Private,Unit,Kenya,2004,November,0.07,0.07,0.09
Atenolol 50 mg cap/tab,Public,Unit,Kenya,2004,November,NO DATA,NO DATA,NO DATA
Captopril 25 mg cap/tab,Private,Unit,Kenya,2004,November,0.15,0.11,0.16
Captopril 25 mg cap/tab,Public,Unit,Kenya,2004,November,NO DATA,NO DATA,NO DATA
Ceftriaxone 1 g/vial injection,Private,Unit,Kenya,2004,November,4.91,3.68,8.62
Ceftriaxone 1 g/vial injection,Public,Unit,Kenya,2004,November,5.73,3.27,7.83
Ciprofloxacin 500 mg cap/tab,Private,Unit,Kenya,2004,November,0.12,0.12,0.25
Ciprofloxacin 500 mg cap/tab,Public,Unit,Kenya,2004,November,0.09,0.06,0.15
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Kenya,2004,November,0.01,0.01,<0.01
Co-trimoxazole 40+200 mg/5ml suspension,Public,Unit,Kenya,2004,November,0.01,0.01,<0.01
Diazepam 5 mg cap/tab,Private,Unit,Kenya,2004,November,0.01,0.01,0.01
Diazepam 5 mg cap/tab,Public,Unit,Kenya,2004,November,0.02,0.01,0.02
Glibenclamide 5 mg cap/tab,Private,Unit,Kenya,2004,November,0.05,0.04,0.06
Glibenclamide 5 mg cap/tab,Public,Unit,Kenya,2004,November,0.01,0.01,0.02
Omeprazole 20 mg cap/tab,Private,Unit,Kenya,2004,November,0.25,0.25,0.30
Omeprazole 20 mg cap/tab,Public,Unit,Kenya,2004,November,0.10,0.08,0.14
Salbutamol 100 mcg/dose inhaler,Private,Unit,Kenya,2004,November,0.02,0.02,0.02
Salbutamol 100 mcg/dose inhaler,Public,Unit,Kenya,2004,November,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,MPR,Kuwait,2004,June,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Public,MPR,Kuwait,2004,June,NO DATA,NO DATA,NO DATA
Atenolol 50 mg cap/tab,Private,MPR,Kuwait,2004,June,47.37,47.37,47.37
Atenolol 50 mg cap/tab,Public,MPR,Kuwait,2004,June,free,free,free
Captopril 25 mg cap/tab,Private,MPR,Kuwait,2004,June,16.00,16.00,18.42
Captopril 25 mg cap/tab,Public,MPR,Kuwait,2004,June,free,free,free
Ceftriaxone 1 g/vial injection,Private,MPR,Kuwait,2004,June,8.62,8.62,8.62
Ceftriaxone 1 g/vial injection,Public,MPR,Kuwait,2004,June,free,free,free
Ciprofloxacin 500 mg cap/tab,Private,MPR,Kuwait,2004,June,100.05,78.20,100.05
Ciprofloxacin 500 mg cap/tab,Public,MPR,Kuwait,2004,June,free,free,free
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,Kuwait,2004,June,14.62,14.62,14.62
Co-trimoxazole 40+200 mg/5ml suspension,Public,MPR,Kuwait,2004,June,free,free,free
Diazepam 5 mg cap/tab,Private,MPR,Kuwait,2004,June,NO DATA,NO DATA,NO DATA
Diazepam 5 mg cap/tab,Public,MPR,Kuwait,2004,June,NO DATA,NO DATA,NO DATA
Glibenclamide 5 mg cap/tab,Private,MPR,Kuwait,2004,June,50.76,50.76,51.92
Glibenclamide 5 mg cap/tab,Public,MPR,Kuwait,2004,June,free,free,free
Omeprazole 20 mg cap/tab,Private,MPR,Kuwait,2004,June,15.72,12.81,16.28
Omeprazole 20 mg cap/tab,Public,MPR,Kuwait,2004,June,free,free,free
Salbutamol 100 mcg/dose inhaler,Private,MPR,Kuwait,2004,June,NO DATA,NO DATA,NO DATA
Salbutamol 100 mcg/dose inhaler,Public,MPR,Kuwait,2004,June,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,Unit,Kuwait,2004,June,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Public,Unit,Kuwait,2004,June,NO DATA,NO DATA,NO DATA
Atenolol 50 mg cap/tab,Private,Unit,Kuwait,2004,June,0.39,0.39,0.39
Atenolol 50 mg cap/tab,Public,Unit,Kuwait,2004,June,free,free,free
Captopril 25 mg cap/tab,Private,Unit,Kuwait,2004,June,0.42,0.42,0.49
Captopril 25 mg cap/tab,Public,Unit,Kuwait,2004,June,free,free,free
Ceftriaxone 1 g/vial injection,Private,Unit,Kuwait,2004,June,27.99,27.99,27.99
Ceftriaxone 1 g/vial injection,Public,Unit,Kuwait,2004,June,free,free,free
Ciprofloxacin 500 mg cap/tab,Private,Unit,Kuwait,2004,June,3.57,2.79,3.57
Ciprofloxacin 500 mg cap/tab,Public,Unit,Kuwait,2004,June,free,free,free
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Kuwait,2004,June,0.06,0.06,0.06
Co-trimoxazole 40+200 mg/5ml suspension,Public,Unit,Kuwait,2004,June,free,free,free
Diazepam 5 mg cap/tab,Private,Unit,Kuwait,2004,June,NO DATA,NO DATA,NO DATA
Diazepam 5 mg cap/tab,Public,Unit,Kuwait,2004,June,NO DATA,NO DATA,NO DATA
Glibenclamide 5 mg cap/tab,Private,Unit,Kuwait,2004,June,0.25,0.25,0.25
Glibenclamide 5 mg cap/tab,Public,Unit,Kuwait,2004,June,free,free,free
Omeprazole 20 mg cap/tab,Private,Unit,Kuwait,2004,June,2.90,2.37,3.01
Omeprazole 20 mg cap/tab,Public,Unit,Kuwait,2004,June,free,free,free
Salbutamol 100 mcg/dose inhaler,Private,Unit,Kuwait,2004,June,NO DATA,NO DATA,NO DATA
Salbutamol 100 mcg/dose inhaler,Public,Unit,Kuwait,2004,June,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Private,MPR,Kyrgyzstan,2010,July,3.78,3.02,3.78
Amoxicillin 500 mg cap/tab,Private,MPR,Kyrgyzstan,2010,July,2.44,2.20,2.71
Atenolol 50 mg cap/tab,Private,MPR,Kyrgyzstan,2010,July,1.24,1.08,1.61
Ceftriaxone 1 g/vial injection,Private,MPR,Kyrgyzstan,2010,July,1.41,1.32,1.44
Ciprofloxacin 500 mg cap/tab,Private,MPR,Kyrgyzstan,2010,July,4.56,2.25,12.05
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,Kyrgyzstan,2010,July,5.77,4.49,7.86
Diazepam 5 mg cap/tab,Private,MPR,Kyrgyzstan,2010,July,NO DATA,NO DATA,NO DATA
Diclofenac 50 mg cap/tab,Private,MPR,Kyrgyzstan,2010,July,3.78,3.78,4.35
Glibenclamide 5 mg cap/tab,Private,MPR,Kyrgyzstan,2010,July,6.31,5.48,6.80
Omeprazole 20 mg cap/tab,Private,MPR,Kyrgyzstan,2010,July,1.18,1.08,1.39
Paracetamol 120 mg/5ml suspension,Private,MPR,Kyrgyzstan,2010,July,3.45,3.17,4.77
Salbutamol 100 mcg/dose inhaler,Private,MPR,Kyrgyzstan,2010,July,3.55,3.22,4.24
Simvastatin 20 mg cap/tab,Private,MPR,Kyrgyzstan,2010,July,7.43,7.29,7.71
Amitriptyline 25 mg cap/tab,Private,Unit,Kyrgyzstan,2010,July,0.02,0.02,0.02
Amoxicillin 500 mg cap/tab,Private,Unit,Kyrgyzstan,2010,July,0.10,0.09,0.11
Atenolol 50 mg cap/tab,Private,Unit,Kyrgyzstan,2010,July,0.01,0.01,0.02
Ceftriaxone 1 g/vial injection,Private,Unit,Kyrgyzstan,2010,July,0.97,0.91,0.99
Ciprofloxacin 500 mg cap/tab,Private,Unit,Kyrgyzstan,2010,July,0.15,0.07,0.40
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Kyrgyzstan,2010,July,0.02,0.02,0.03
Diazepam 5 mg cap/tab,Private,Unit,Kyrgyzstan,2010,July,NO DATA,NO DATA,NO DATA
Diclofenac 50 mg cap/tab,Private,Unit,Kyrgyzstan,2010,July,0.02,0.02,0.02
Glibenclamide 5 mg cap/tab,Private,Unit,Kyrgyzstan,2010,July,0.03,0.02,0.03
Omeprazole 20 mg cap/tab,Private,Unit,Kyrgyzstan,2010,July,0.04,0.03,0.04
Paracetamol 120 mg/5ml suspension,Private,Unit,Kyrgyzstan,2010,July,0.01,0.01,0.02
Salbutamol 100 mcg/dose inhaler,Private,Unit,Kyrgyzstan,2010,July,0.03,0.03,0.04
Simvastatin 20 mg cap/tab,Private,Unit,Kyrgyzstan,2010,July,0.49,0.48,0.51
Amitriptyline 25 mg cap/tab,Private,MPR,Lao PDR,2013,November,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Public,MPR,Lao PDR,2013,November,7.63,4.94,9.65
Amoxicillin 500 mg cap/tab,Private,MPR,Lao PDR,2013,November,2.01,1.56,2.01
Amoxicillin 500 mg cap/tab,Public,MPR,Lao PDR,2013,November,2.01,1.61,2.01
Atenolol 50 mg cap/tab,Private,MPR,Lao PDR,2013,November,4.15,3.56,5.04
Atenolol 50 mg cap/tab,Public,MPR,Lao PDR,2013,November,NO DATA,NO DATA,NO DATA
Ceftriaxone 1 g/vial injection,Private,MPR,Lao PDR,2013,November,1.79,1.43,2.14
Ceftriaxone 1 g/vial injection,Public,MPR,Lao PDR,2013,November,2.14,1.86,2.68
Ciprofloxacin 500 mg cap/tab,Private,MPR,Lao PDR,2013,November,1.66,1.66,2.66
Ciprofloxacin 500 mg cap/tab,Public,MPR,Lao PDR,2013,November,2.33,1.75,3.16
Co-trimoxazole 40+200 mg/5ml suspension,Private,MPR,Lao PDR,2013,November,2.99,2.14,4.28
Co-trimoxazole 40+200 mg/5ml suspension,Public,MPR,Lao PDR,2013,November,2.57,2.32,3.10
Diazepam 5 mg cap/tab,Private,MPR,Lao PDR,2013,November,9.98,7.98,13.97
Diazepam 5 mg cap/tab,Public,MPR,Lao PDR,2013,November,9.98,6.46,13.22
Diclofenac 50 mg cap/tab,Private,MPR,Lao PDR,2013,November,3.87,1.93,5.80
Diclofenac 50 mg cap/tab,Public,MPR,Lao PDR,2013,November,2.90,0.97,5.80
Glibenclamide 5 mg cap/tab,Private,MPR,Lao PDR,2013,November,8.98,6.73,13.47
Glibenclamide 5 mg cap/tab,Public,MPR,Lao PDR,2013,November,3.83,2.54,7.90
Omeprazole 20 mg cap/tab,Private,MPR,Lao PDR,2013,November,3.12,2.60,5.19
Omeprazole 20 mg cap/tab,Public,MPR,Lao PDR,2013,November,3.64,2.60,4.16
Paracetamol 120 mg/5ml suspension,Private,MPR,Lao PDR,2013,November,1.66,1.33,1.75
Paracetamol 120 mg/5ml suspension,Public,MPR,Lao PDR,2013,November,1.66,1.33,2.00
Salbutamol 100 mcg/dose inhaler,Private,MPR,Lao PDR,2013,November,NO DATA,NO DATA,NO DATA
Salbutamol 100 mcg/dose inhaler,Public,MPR,Lao PDR,2013,November,NO DATA,NO DATA,NO DATA
Simvastatin 20 mg cap/tab,Private,MPR,Lao PDR,2013,November,4.24,3.49,4.99
Simvastatin 20 mg cap/tab,Public,MPR,Lao PDR,2013,November,6.48,4.99,8.73
Amitriptyline 25 mg cap/tab,Private,Unit,Lao PDR,2013,November,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Public,Unit,Lao PDR,2013,November,0.05,0.03,0.07
Amoxicillin 500 mg cap/tab,Private,Unit,Lao PDR,2013,November,0.06,0.05,0.06
Amoxicillin 500 mg cap/tab,Public,Unit,Lao PDR,2013,November,0.06,0.05,0.06
Atenolol 50 mg cap/tab,Private,Unit,Lao PDR,2013,November,0.04,0.04,0.05
Atenolol 50 mg cap/tab,Public,Unit,Lao PDR,2013,November,NO DATA,NO DATA,NO DATA
Ceftriaxone 1 g/vial injection,Private,Unit,Lao PDR,2013,November,1.26,1.01,1.51
Ceftriaxone 1 g/vial injection,Public,Unit,Lao PDR,2013,November,1.51,1.31,1.89
Ciprofloxacin 500 mg cap/tab,Private,Unit,Lao PDR,2013,November,0.06,0.06,0.10
Ciprofloxacin 500 mg cap/tab,Public,Unit,Lao PDR,2013,November,0.09,0.07,0.12
Co-trimoxazole 40+200 mg/5ml suspension,Private,Unit,Lao PDR,2013,November,0.02,0.01,0.02
Co-trimoxazole 40+200 mg/5ml suspension,Public,Unit,Lao PDR,2013,November,0.01,0.01,0.02
Diazepam 5 mg cap/tab,Private,Unit,Lao PDR,2013,November,0.06,0.05,0.09
Diazepam 5 mg cap/tab,Public,Unit,Lao PDR,2013,November,0.06,0.04,0.08
Diclofenac 50 mg cap/tab,Private,Unit,Lao PDR,2013,November,0.03,0.01,0.04
Diclofenac 50 mg cap/tab,Public,Unit,Lao PDR,2013,November,0.02,0.01,0.04
Glibenclamide 5 mg cap/tab,Private,Unit,Lao PDR,2013,November,0.04,0.03,0.06
Glibenclamide 5 mg cap/tab,Public,Unit,Lao PDR,2013,November,0.02,0.01,0.03
Omeprazole 20 mg cap/tab,Private,Unit,Lao PDR,2013,November,0.08,0.06,0.13
Omeprazole 20 mg cap/tab,Public,Unit,Lao PDR,2013,November,0.09,0.06,0.10
Paracetamol 120 mg/5ml suspension,Private,Unit,Lao PDR,2013,November,0.01,0.01,0.01
Paracetamol 120 mg/5ml suspension,Public,Unit,Lao PDR,2013,November,0.01,0.01,0.01
Salbutamol 100 mcg/dose inhaler,Private,Unit,Lao PDR,2013,November,NO DATA,NO DATA,NO DATA
Salbutamol 100 mcg/dose inhaler,Public,Unit,Lao PDR,2013,November,NO DATA,NO DATA,NO DATA
Simvastatin 20 mg cap/tab,Private,Unit,Lao PDR,2013,November,0.11,0.09,0.13
Simvastatin 20 mg cap/tab,Public,Unit,Lao PDR,2013,November,0.16,0.13,0.22
Amitriptyline 25 mg cap/tab,Private,MPR,Lebanon,2013,July,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Public,MPR,Lebanon,2013,July,free,free,free
Atenolol 50 mg cap/tab,Private,MPR,Lebanon,2013,July,7.72,7.72,7.72
Atenolol 50 mg cap/tab,Public,MPR,Lebanon,2013,July,free,free,free
Captopril 25 mg cap/tab,Private,MPR,Lebanon,2013,July,7.63,7.63,7.68
Captopril 25 mg cap/tab,Public,MPR,Lebanon,2013,July,free,free,free
Diazepam 5 mg cap/tab,Private,MPR,Lebanon,2013,July,NO DATA,NO DATA,NO DATA
Diazepam 5 mg cap/tab,Public,MPR,Lebanon,2013,July,NO DATA,NO DATA,NO DATA
Diclofenac 50 mg cap/tab,Private,MPR,Lebanon,2013,July,24.13,24.07,24.25
Diclofenac 50 mg cap/tab,Public,MPR,Lebanon,2013,July,free,free,free
Glibenclamide 5 mg cap/tab,Private,MPR,Lebanon,2013,July,9.48,9.08,9.48
Glibenclamide 5 mg cap/tab,Public,MPR,Lebanon,2013,July,free,free,free
Omeprazole 20 mg cap/tab,Private,MPR,Lebanon,2013,July,18.15,18.12,22.46
Omeprazole 20 mg cap/tab,Public,MPR,Lebanon,2013,July,free,free,free
Salbutamol 100 mcg/dose inhaler,Private,MPR,Lebanon,2013,July,2.01,2.01,2.01
Salbutamol 100 mcg/dose inhaler,Public,MPR,Lebanon,2013,July,free,free,free
Simvastatin 20 mg cap/tab,Private,MPR,Lebanon,2013,July,6.52,6.52,6.58
Simvastatin 20 mg cap/tab,Public,MPR,Lebanon,2013,July,free,free,free
Amitriptyline 25 mg cap/tab,Private,Unit,Lebanon,2013,July,NO DATA,NO DATA,NO DATA
Amitriptyline 25 mg cap/tab,Public,Unit,Lebanon,2013,July,free,free,free
Atenolol 50 mg cap/tab,Private,Unit,Lebanon,2013,July,0.08,0.08,0.08
Atenolol 50 mg cap/tab,Public,Unit,Lebanon,2013,July,free,free,free
Captopril 25 mg cap/tab,Private,Unit,Lebanon,2013,July,0.17,0.16,0.17
Captopril 25 mg cap/tab,Public,Unit,Lebanon,2013,July,free,free,free
Diazepam 5 mg cap/tab,Private,Unit,Lebanon,2013,July,NO DATA,NO DATA,NO DATA
Diazepam 5 mg cap/tab,Public,Unit,Lebanon,2013,July,NO DATA,NO DATA,NO DATA
Diclofenac 50 mg cap/tab,Private,Unit,Lebanon,2013,July,0.16,0.16,0.16
Diclofenac 50 mg cap/tab,Public,Unit,Lebanon,2013,July,free,free,free
Glibenclamide 5 mg cap/tab,Private,Unit,Lebanon,2013,July,0.04,0.04,0.04
Glibenclamide 5 mg cap/tab,Public,Unit,Lebanon,2013,July,free,free,free
Omeprazole 20 mg cap/tab,Private,Unit,Lebanon,2013,July,0.44,0.44,0.54
Omeprazole 20 mg cap/tab,Public,Unit,Lebanon,2013,July,free,free,free
Salbutamol 100 mcg/dose inhaler,Private,Unit,Lebanon,2013,July,0.02,0.02,0.02
